2018-05-17 16:39:35,723  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-17 16:39:35,739  INFO: CTP	交易服务器连接成功
2018-05-17 16:39:35,743  INFO: CTP	交易服务器登录完成
2018-05-17 16:39:36,072  INFO: CTP	结算信息确认完成
2018-05-17 16:39:38,358  INFO: CTP	交易合约信息获取完成
2018-05-17 16:40:02,269  INFO: CTP	交易服务器连接断开
2018-05-17 16:40:02,542  INFO: CTP	交易服务器连接成功
2018-05-17 16:40:03,476  INFO: CTP	交易服务器登录完成
2018-05-17 16:40:06,165  INFO: CTP	结算信息确认完成
2018-05-17 16:40:16,551  INFO: CTP	交易合约信息获取完成
2018-05-17 16:42:21,676  INFO: CTP	交易服务器连接断开
2018-05-17 16:42:22,262  INFO: CTP	交易服务器连接成功
2018-05-17 16:42:30,602  INFO: CTP	交易服务器登录完成
2018-05-17 16:49:37,085  INFO: CTP	结算信息确认完成
2018-05-17 16:49:39,440  INFO: CTP	交易合约信息获取完成
2018-05-17 16:55:02,894  INFO: CTP	交易服务器连接断开
2018-05-17 16:55:02,928  INFO: CTP	交易服务器连接成功
2018-05-17 16:55:12,516  INFO: CTP	交易服务器连接断开
2018-05-17 17:00:03,187  INFO: CTP	交易服务器连接成功
2018-05-17 17:00:06,424  INFO: CTP	交易服务器连接断开
2018-05-17 17:05:06,674  INFO: CTP	交易服务器连接成功
2018-05-17 17:05:10,385  INFO: CTP	交易服务器连接断开
