2018-05-11 11:00:13,736  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-11 11:00:13,755  INFO: CTP	交易服务器连接成功
2018-05-11 11:00:13,765  INFO: CTP	交易服务器登录完成
2018-05-11 11:00:14,543  INFO: CTP	结算信息确认完成
2018-05-11 11:00:17,075  INFO: CTP	交易合约信息获取完成
2018-05-11 11:01:50,973  INFO: MAIN_ENGINE	接口不存在：
2018-05-11 12:09:31,986  INFO: CTP	交易服务器连接断开
2018-05-11 12:09:42,029  INFO: CTP	交易服务器连接成功
2018-05-11 12:09:42,095  INFO: CTP	交易服务器登录完成
2018-05-11 12:09:42,348  INFO: CTP	结算信息确认完成
2018-05-11 12:10:00,825  INFO: CTP	交易合约信息获取完成
2018-05-11 12:12:22,342  INFO: CTP	交易服务器连接断开
2018-05-11 12:12:32,388  INFO: CTP	交易服务器连接成功
2018-05-11 12:12:32,410  INFO: CTP	交易服务器登录完成
2018-05-11 12:12:32,529  INFO: CTP	结算信息确认完成
2018-05-11 12:12:33,016  INFO: CTP	交易合约信息获取完成
2018-05-11 12:14:51,400  INFO: CTP	交易服务器连接断开
2018-05-11 12:15:01,440  INFO: CTP	交易服务器连接成功
2018-05-11 12:15:01,473  INFO: CTP	交易服务器登录完成
2018-05-11 12:15:01,588  INFO: CTP	结算信息确认完成
2018-05-11 12:15:03,160  INFO: CTP	交易合约信息获取完成
2018-05-11 12:26:15,871  INFO: CTP	交易服务器连接断开
2018-05-11 12:26:26,184  INFO: CTP	交易服务器连接成功
2018-05-11 12:26:26,223  INFO: CTP	交易服务器登录完成
2018-05-11 12:26:27,276  INFO: CTP	结算信息确认完成
2018-05-11 12:26:28,273  INFO: CTP	交易合约信息获取完成
2018-05-11 12:26:50,394  INFO: CTP	交易服务器连接断开
2018-05-11 12:27:00,309  INFO: CTP	交易服务器连接成功
2018-05-11 12:27:00,450  INFO: CTP	交易服务器登录完成
2018-05-11 12:27:02,019  INFO: CTP	结算信息确认完成
2018-05-11 12:27:02,809  INFO: CTP	交易合约信息获取完成
2018-05-11 12:27:05,371  INFO: CTP	行情服务器连接成功
2018-05-11 12:27:05,382  INFO: CTP	行情服务器登录完成
2018-05-11 12:27:21,979  INFO: CTP	行情服务器连接断开
2018-05-11 12:27:21,982  INFO: CTP	交易服务器连接断开
2018-05-11 12:27:32,032  INFO: CTP	交易服务器连接成功
2018-05-11 12:27:32,065  INFO: CTP	交易服务器登录完成
2018-05-11 12:27:32,180  INFO: CTP	结算信息确认完成
2018-05-11 12:27:32,628  INFO: CTP	交易合约信息获取完成
2018-05-11 12:28:38,194  INFO: CTP	交易服务器连接断开
2018-05-11 12:28:48,266  INFO: CTP	交易服务器连接成功
2018-05-11 12:28:48,283  INFO: CTP	交易服务器登录完成
2018-05-11 12:28:48,395  INFO: CTP	结算信息确认完成
2018-05-11 12:28:49,760  INFO: CTP	交易合约信息获取完成
