2018-05-16 14:03:42,759  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-16 14:03:42,851  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:42,917  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:42,951  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:43,167  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:43,174  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:43,240  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:43,358  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:43,361  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:43,398  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:43,466  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:43,500  INFO: CTP	交易服务器连接成功
2018-05-16 14:03:43,517  INFO: CTP	交易服务器连接断开
2018-05-16 14:03:43,617  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:06,904  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,134  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,153  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,220  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,390  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,394  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,427  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,460  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,496  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,530  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,565  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,598  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,632  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,802  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,812  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,878  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,900  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:10,940  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:10,973  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:11,039  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:11,056  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:11,091  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:11,125  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:11,240  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:11,415  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:11,426  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:11,466  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:14,542  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:14,546  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:14,562  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:14,596  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:17,681  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:17,687  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:17,753  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:17,971  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:17,976  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:18,010  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:18,341  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:18,345  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:18,362  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:18,395  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:18,430  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:18,467  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:18,502  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,135  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,303  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,309  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,345  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,378  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,413  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,479  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,496  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,530  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,568  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,602  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,671  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,674  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,710  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,744  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,778  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,812  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,829  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,865  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:19,898  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:19,933  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:22,970  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:22,997  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:23,063  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:23,065  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:23,104  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:23,138  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,203  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,213  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,279  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,395  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,562  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,581  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,648  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,651  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,687  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,720  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,786  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,789  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,825  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,868  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,901  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:26,920  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:26,953  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:27,019  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,049  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,066  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,132  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,140  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,207  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,213  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,289  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,293  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,329  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,397  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,433  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,467  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,500  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,533  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,602  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,608  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,647  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,683  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,717  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:30,752  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:30,786  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,151  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,187  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,221  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,288  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,296  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,339  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,374  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,539  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,573  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,608  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,642  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,709  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,713  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,755  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,789  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,904  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:31,911  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:31,946  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:32,012  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:35,128  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:35,194  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:35,229  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:35,246  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:38,397  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:38,414  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:38,448  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:38,482  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:38,516  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:38,920  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:38,953  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:38,987  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:39,022  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:39,055  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:39,076  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:39,108  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:39,144  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:39,211  INFO: CTP	交易服务器连接断开
2018-05-16 14:04:42,219  INFO: CTP	交易服务器连接成功
2018-05-16 14:04:42,286  INFO: CTP	交易服务器登录完成
2018-05-16 14:04:42,766  INFO: CTP	结算信息确认完成
2018-05-16 14:04:43,815  INFO: CTP	交易合约信息获取完成
2018-05-16 14:22:08,095  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:13,141  INFO: CTP	行情服务器连接成功
2018-05-16 14:22:13,160  INFO: CTP	行情服务器登录完成
2018-05-16 14:22:18,141  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:18,144  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:18,213  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:18,221  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:18,286  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:18,306  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:18,897  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:18,904  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:18,970  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:18,980  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:19,023  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:19,056  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:19,140  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:19,371  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:19,915  INFO: CTP	行情服务器连接断开
2018-05-16 14:22:59,394  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:59,730  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:59,744  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:59,812  INFO: CTP	交易服务器连接断开
2018-05-16 14:22:59,862  INFO: CTP	交易服务器连接成功
2018-05-16 14:22:59,901  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:00,017  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:00,085  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:00,107  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:00,279  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:00,400  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:31,598  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:31,631  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:31,670  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:31,785  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:31,818  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:31,983  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:32,032  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:32,197  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:32,267  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:32,440  INFO: CTP	交易服务器连接成功
2018-05-16 14:23:33,055  INFO: CTP	交易服务器连接断开
2018-05-16 14:23:33,062  INFO: CTP	交易服务器连接成功
