2018-05-31 21:22:30,720  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-31 21:22:30,733  INFO: CTP	行情服务器连接成功
2018-05-31 21:22:30,736  INFO: CTP	交易服务器连接成功
2018-05-31 21:22:30,740  INFO: CTP	行情服务器登录完成
2018-05-31 21:22:30,743  INFO: CTP	交易服务器登录完成
2018-05-31 21:22:30,857  INFO: CTP	结算信息确认完成
2018-05-31 21:22:31,795  INFO: CTP	交易合约信息获取完成
2018-05-31 21:23:27,891  INFO: CTP	交易服务器连接断开
2018-05-31 21:23:28,007  INFO: CTP	交易服务器连接成功
2018-05-31 21:23:28,025  INFO: CTP	交易服务器登录完成
2018-05-31 21:23:28,141  INFO: CTP	结算信息确认完成
2018-05-31 21:23:29,614  INFO: CTP	行情服务器连接断开
2018-05-31 21:23:29,729  INFO: CTP	行情服务器连接成功
2018-05-31 21:23:29,796  INFO: CTP	行情服务器登录完成
2018-05-31 21:23:30,003  INFO: CTP	交易合约信息获取完成
2018-05-31 21:24:40,255  INFO: CTP	行情服务器连接断开
2018-05-31 21:24:40,272  INFO: CTP	交易服务器连接断开
2018-05-31 21:24:40,440  INFO: CTP	交易服务器连接成功
2018-05-31 21:24:43,354  INFO: CTP	行情服务器连接成功
2018-05-31 21:24:43,469  INFO: CTP	行情服务器登录完成
2018-05-31 21:24:43,700  INFO: CTP	交易服务器登录完成
2018-05-31 21:24:44,243  INFO: CTP	结算信息确认完成
2018-05-31 21:25:55,641  INFO: CTP	交易服务器连接断开
2018-05-31 21:25:55,651  INFO: CTP	行情服务器连接断开
2018-05-31 21:25:55,664  INFO: CTP	行情服务器连接成功
2018-05-31 21:25:55,713  INFO: CTP	行情服务器登录完成
2018-05-31 21:25:58,677  INFO: CTP	交易服务器连接成功
2018-05-31 21:25:58,746  INFO: CTP	交易服务器登录完成
2018-05-31 21:25:58,812  INFO: CTP	结算信息确认完成
2018-05-31 21:25:59,267  INFO: CTP	交易合约信息获取完成
2018-05-31 21:34:19,009  INFO: CTP	交易服务器连接断开
2018-05-31 21:34:19,020  INFO: CTP	行情服务器连接断开
2018-05-31 21:34:19,286  INFO: CTP	交易服务器连接成功
2018-05-31 21:34:19,288  INFO: CTP	行情服务器连接成功
2018-05-31 21:34:19,553  INFO: CTP	交易服务器登录完成
2018-05-31 21:34:19,555  INFO: CTP	行情服务器登录完成
2018-05-31 21:34:20,046  INFO: CTP	结算信息确认完成
2018-05-31 21:34:24,335  INFO: CTP	交易合约信息获取完成
2018-05-31 21:38:01,575  INFO: CTP	交易服务器连接断开
2018-05-31 21:38:01,579  INFO: CTP	行情服务器连接断开
2018-05-31 21:38:01,625  INFO: CTP	交易服务器连接成功
2018-05-31 21:38:01,657  INFO: CTP	行情服务器连接成功
2018-05-31 21:38:01,703  INFO: CTP	交易服务器登录完成
2018-05-31 21:38:01,713  INFO: CTP	行情服务器登录完成
2018-05-31 21:38:01,783  INFO: CTP	结算信息确认完成
2018-05-31 21:38:02,822  INFO: CTP	交易合约信息获取完成
2018-05-31 22:06:48,131  INFO: CTP	行情服务器连接断开
2018-05-31 22:06:48,135  INFO: CTP	交易服务器连接断开
2018-05-31 22:06:51,236  INFO: CTP	交易服务器连接成功
2018-05-31 22:06:51,243  INFO: CTP	行情服务器连接成功
2018-05-31 22:06:51,359  INFO: CTP	交易服务器登录完成
2018-05-31 22:06:51,677  INFO: CTP	结算信息确认完成
2018-05-31 22:06:53,230  INFO: CTP	交易合约信息获取完成
2018-05-31 22:07:12,437  INFO: CTP	行情服务器登录完成
2018-05-31 22:08:45,484  INFO: CTP	交易服务器连接断开
2018-05-31 22:08:45,494  INFO: CTP	行情服务器连接断开
2018-05-31 22:08:45,551  INFO: CTP	交易服务器连接成功
2018-05-31 22:08:45,569  INFO: CTP	行情服务器连接成功
2018-05-31 22:08:45,578  INFO: CTP	交易服务器登录完成
2018-05-31 22:08:45,605  INFO: CTP	行情服务器登录完成
2018-05-31 22:08:45,966  INFO: CTP	结算信息确认完成
2018-05-31 22:08:46,249  INFO: CTP	交易合约信息获取完成
2018-05-31 23:10:42,400  INFO: CTP	行情服务器连接断开
2018-05-31 23:10:42,404  INFO: CTP	交易服务器连接断开
2018-05-31 23:12:06,607  INFO: CTP	行情服务器连接成功
2018-05-31 23:12:06,625  INFO: CTP	交易服务器连接成功
2018-05-31 23:12:06,690  INFO: CTP	行情服务器登录完成
2018-05-31 23:12:06,726  INFO: CTP	交易服务器登录完成
2018-05-31 23:12:06,861  INFO: CTP	结算信息确认完成
2018-05-31 23:12:07,269  INFO: CTP	交易合约信息获取完成
