2018-05-14 09:07:57,493  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-14 09:08:17,526  INFO: CTP	交易服务器连接成功
2018-05-14 09:08:17,568  INFO: CTP	交易服务器登录完成
2018-05-14 09:08:17,733  INFO: CTP	结算信息确认完成
2018-05-14 09:08:18,380  INFO: CTP	交易合约信息获取完成
2018-05-14 09:11:24,405  INFO: CTP	交易服务器连接断开
2018-05-14 09:11:24,438  INFO: CTP	交易服务器连接成功
2018-05-14 09:11:24,476  INFO: CTP	交易服务器登录完成
2018-05-14 09:11:24,641  INFO: CTP	结算信息确认完成
2018-05-14 09:11:25,160  INFO: CTP	交易合约信息获取完成
2018-05-14 09:15:40,553  INFO: CTP	交易服务器连接断开
2018-05-14 09:15:43,611  INFO: CTP	交易服务器连接成功
2018-05-14 09:15:43,628  INFO: CTP	交易服务器登录完成
2018-05-14 09:15:43,746  INFO: CTP	结算信息确认完成
2018-05-14 09:15:44,855  INFO: CTP	交易合约信息获取完成
2018-05-14 09:17:08,762  INFO: CTP	交易服务器连接断开
2018-05-14 09:19:28,844  INFO: CTP	交易服务器连接成功
2018-05-14 09:19:28,881  INFO: CTP	交易服务器登录完成
2018-05-14 09:19:29,052  INFO: CTP	结算信息确认完成
2018-05-14 09:19:29,631  INFO: CTP	交易合约信息获取完成
2018-05-14 09:20:07,628  INFO: CTP	交易服务器连接断开
2018-05-14 09:20:27,759  INFO: CTP	交易服务器连接成功
2018-05-14 09:20:27,875  INFO: CTP	交易服务器登录完成
2018-05-14 09:20:28,309  INFO: CTP	结算信息确认完成
2018-05-14 09:20:53,766  INFO: CTP	交易合约信息获取完成
2018-05-14 09:21:28,647  INFO: CTP	交易服务器连接断开
2018-05-14 09:21:28,654  INFO: CTP	交易服务器连接成功
2018-05-14 09:21:28,688  INFO: CTP	交易服务器登录完成
2018-05-14 09:21:29,516  INFO: CTP	结算信息确认完成
2018-05-14 09:21:54,105  INFO: CTP	交易服务器连接断开
2018-05-14 09:22:04,148  INFO: CTP	交易服务器连接成功
2018-05-14 09:22:04,165  INFO: CTP	交易服务器登录完成
2018-05-14 09:22:04,661  INFO: CTP	结算信息确认完成
2018-05-14 09:22:05,661  INFO: CTP	交易合约信息获取完成
2018-05-14 09:23:11,421  INFO: CTP	交易服务器连接断开
2018-05-14 09:24:01,467  INFO: CTP	交易服务器连接成功
2018-05-14 09:24:01,502  INFO: CTP	交易服务器登录完成
2018-05-14 09:24:01,618  INFO: CTP	结算信息确认完成
2018-05-14 09:24:06,022  INFO: CTP	交易合约信息获取完成
2018-05-14 09:25:20,960  INFO: CTP	交易服务器连接断开
2018-05-14 09:26:11,009  INFO: CTP	交易服务器连接成功
2018-05-14 09:26:11,075  INFO: CTP	交易服务器登录完成
2018-05-14 09:26:12,286  INFO: CTP	结算信息确认完成
2018-05-14 09:36:14,028  INFO: CTP	交易服务器连接断开
2018-05-14 09:36:14,048  INFO: CTP	交易服务器连接成功
2018-05-14 09:36:14,214  INFO: CTP	交易服务器登录完成
2018-05-14 09:36:14,897  INFO: CTP	结算信息确认完成
2018-05-14 09:37:00,621  INFO: CTP	交易服务器连接断开
2018-05-14 09:37:30,690  INFO: CTP	交易服务器连接成功
2018-05-14 09:37:30,707  INFO: CTP	交易服务器登录完成
2018-05-14 09:37:31,436  INFO: CTP	结算信息确认完成
2018-05-14 09:37:33,430  INFO: CTP	交易合约信息获取完成
2018-05-14 09:42:20,036  INFO: CTP	交易服务器连接断开
2018-05-14 09:43:53,117  INFO: CTP	交易服务器连接成功
2018-05-14 09:43:53,282  INFO: CTP	交易服务器登录完成
2018-05-14 09:43:56,700  INFO: CTP	结算信息确认完成
2018-05-14 09:44:01,890  INFO: CTP	交易合约信息获取完成
2018-05-14 09:45:40,092  INFO: CTP	交易服务器连接断开
2018-05-14 09:46:10,161  INFO: CTP	交易服务器连接成功
2018-05-14 09:46:10,279  INFO: CTP	交易服务器登录完成
2018-05-14 09:46:11,602  INFO: CTP	结算信息确认完成
2018-05-14 09:52:56,275  INFO: CTP	交易服务器连接断开
2018-05-14 09:53:09,341  INFO: CTP	交易服务器连接成功
2018-05-14 09:53:12,398  INFO: CTP	交易服务器登录完成
2018-05-14 09:53:12,815  INFO: CTP	结算信息确认完成
2018-05-14 09:53:15,575  INFO: CTP	交易合约信息获取完成
2018-05-14 09:54:30,119  INFO: CTP	交易服务器连接断开
2018-05-14 09:54:50,203  INFO: CTP	交易服务器连接成功
2018-05-14 09:54:50,236  INFO: CTP	交易服务器登录完成
2018-05-14 09:54:50,651  INFO: CTP	结算信息确认完成
2018-05-14 09:54:51,474  INFO: CTP	交易合约信息获取完成
2018-05-14 09:56:10,503  INFO: CTP	交易服务器连接断开
2018-05-14 09:56:10,571  INFO: CTP	交易服务器连接成功
2018-05-14 09:56:10,635  INFO: CTP	交易服务器登录完成
2018-05-14 09:56:12,229  INFO: CTP	结算信息确认完成
2018-05-14 09:56:15,887  INFO: CTP	交易合约信息获取完成
2018-05-14 09:59:58,812  INFO: CTP	交易服务器连接断开
2018-05-14 10:00:01,862  INFO: CTP	交易服务器连接成功
2018-05-14 10:00:04,914  INFO: CTP	交易服务器登录完成
2018-05-14 10:00:05,283  INFO: CTP	结算信息确认完成
2018-05-14 10:00:06,473  INFO: CTP	交易合约信息获取完成
2018-05-14 10:02:06,571  INFO: CTP	交易服务器连接断开
2018-05-14 10:02:16,661  INFO: CTP	交易服务器连接成功
2018-05-14 10:02:16,684  INFO: CTP	交易服务器登录完成
2018-05-14 10:02:16,855  INFO: CTP	结算信息确认完成
2018-05-14 10:02:17,292  INFO: CTP	交易合约信息获取完成
2018-05-14 10:02:43,081  INFO: CTP	交易服务器连接断开
2018-05-14 10:02:43,145  INFO: CTP	交易服务器连接成功
2018-05-14 10:02:43,178  INFO: CTP	交易服务器登录完成
2018-05-14 10:02:43,966  INFO: CTP	结算信息确认完成
2018-05-14 10:02:54,098  INFO: CTP	交易合约信息获取完成
2018-05-14 10:05:14,118  INFO: CTP	交易服务器连接断开
2018-05-14 10:05:24,174  INFO: CTP	交易服务器连接成功
2018-05-14 10:05:24,207  INFO: CTP	交易服务器登录完成
2018-05-14 10:05:43,184  INFO: CTP	交易服务器连接断开
2018-05-14 10:05:46,219  INFO: CTP	交易服务器连接成功
2018-05-14 10:05:49,413  INFO: CTP	交易服务器登录完成
2018-05-14 10:05:49,778  INFO: CTP	结算信息确认完成
2018-05-14 10:08:20,746  INFO: CTP	交易服务器连接断开
2018-05-14 10:08:20,779  INFO: CTP	交易服务器连接成功
2018-05-14 10:08:20,812  INFO: CTP	交易服务器登录完成
2018-05-14 10:08:21,246  INFO: CTP	结算信息确认完成
2018-05-14 10:08:23,605  INFO: CTP	交易合约信息获取完成
2018-05-14 10:15:23,591  INFO: CTP	交易服务器连接断开
2018-05-14 10:16:13,627  INFO: CTP	交易服务器连接成功
2018-05-14 10:16:13,691  INFO: CTP	交易服务器登录完成
2018-05-14 10:16:14,058  INFO: CTP	结算信息确认完成
2018-05-14 10:16:15,392  INFO: CTP	交易合约信息获取完成
2018-05-14 10:21:25,584  INFO: CTP	交易服务器连接断开
2018-05-14 10:21:35,625  INFO: CTP	交易服务器连接成功
2018-05-14 10:21:35,690  INFO: CTP	交易服务器登录完成
2018-05-14 10:21:36,417  INFO: CTP	结算信息确认完成
2018-05-14 10:21:37,276  INFO: CTP	交易合约信息获取完成
2018-05-14 10:22:35,555  INFO: CTP	交易服务器连接断开
2018-05-14 10:22:48,641  INFO: CTP	交易服务器连接成功
2018-05-14 10:22:48,642  INFO: CTP	交易服务器登录完成
2018-05-14 10:22:49,286  INFO: CTP	结算信息确认完成
2018-05-14 10:22:50,519  INFO: CTP	交易合约信息获取完成
2018-05-14 10:26:23,698  INFO: CTP	交易服务器连接断开
2018-05-14 10:26:37,848  INFO: CTP	交易服务器连接成功
2018-05-14 10:26:40,894  INFO: CTP	交易服务器登录完成
2018-05-14 10:26:41,059  INFO: CTP	结算信息确认完成
2018-05-14 10:28:07,128  INFO: CTP	交易服务器连接断开
2018-05-14 10:28:20,211  INFO: CTP	交易服务器连接成功
2018-05-14 10:28:20,247  INFO: CTP	交易服务器登录完成
2018-05-14 10:28:21,226  INFO: CTP	结算信息确认完成
2018-05-14 10:28:23,289  INFO: CTP	交易合约信息获取完成
2018-05-14 10:30:20,976  INFO: CTP	交易服务器连接断开
2018-05-14 10:32:01,069  INFO: CTP	交易服务器连接成功
2018-05-14 10:32:01,234  INFO: CTP	交易服务器登录完成
2018-05-14 10:32:01,752  INFO: CTP	结算信息确认完成
